"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,2
"GM",14927,332469,853,11679
"Tolerant",333112,315533,1344,22778
"Vulnerable",227,1727,4566,9660
"Unclassified",5993,9647,3165,59599
