"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4,6,3,2
"GM",236221,221602,3868,20242
"Tolerant",211980,15985,1354,4741
"Vulnerable",3412,1504,34354,24139
"Unclassified",13457,3950,34222,103929
