"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",2967,82548,2929,17751
"Tolerant",74349,107213,14553,27212
"Vulnerable",8887,17646,151979,52041
"Unclassified",19955,38228,95298,363338
