"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",82,659,6,16
"GM",227,249,28,126
"Tolerant",87,74,12,74
"Vulnerable",25,16,2211,4817
"Unclassified",188,200,7756,22318
