"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",309,474,1245,668,469
"GM",980,30687,81177,6280,842
"Tolerant",2007,97325,136997,15232,2841
"Vulnerable",509,3043,10237,59396,14936
"Unclassified",7148,36502,94664,97814,380076
