"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",22734,500442,7846,74074
"Tolerant",523889,414671,40721,95061
"Vulnerable",7742,29653,198242,221594
"Unclassified",29722,51499,102938,716845
