"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",4474,15174,3121,3601
"Tolerant",21192,64033,48209,11286
"Vulnerable",12136,39344,156159,29974
"Unclassified",16845,17585,63787,128719
