"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1370,1697,1939,509,2530
"GM",3556,81226,113146,5764,12976
"Tolerant",3070,107197,29976,6093,12383
"Vulnerable",1691,6298,8401,23516,8648
"Unclassified",43274,17672,17330,19702,144519
