"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",241,1235,1576,8151
"Tolerant",659,51051,24939,3947
"Vulnerable",2418,22156,111843,12357
"Unclassified",1419,8568,36662,221369
