"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",19125,397069,11283,3415
"GM",1,0,22,0
"Tolerant",381289,448890,71389,8491
"Vulnerable",8274,42366,634502,13652
"Unclassified",48845,101267,953000,787259
