"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,49,96,116,136
"GM",79,2620,10194,2852,2315
"Tolerant",228,13134,26746,11841,9486
"Vulnerable",900,4505,13962,79737,53504
"Unclassified",658,4184,11733,27363,37186
