"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1114,13739,918,4120
"Tolerant",19019,43296,7197,6856
"Vulnerable",518,9298,92437,21202
"Unclassified",4522,6266,26783,261267
