"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",7877,32214,8866,258
"GM",0,0,2,0
"Tolerant",15835,106068,72197,1483
"Vulnerable",5923,61673,395167,918
"Unclassified",1872,1572,9862,207623
