"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",5,2,65,55
"GM",7444,13016,1453,2289
"Tolerant",23148,8182,2371,3286
"Vulnerable",1535,2237,139260,70897
"Unclassified",3646,2469,67626,76672
