"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2112,1115,270,771,180
"GM",2355,37432,19431,1245,272
"Tolerant",2173,23611,7012,2791,464
"Vulnerable",793,1215,985,32287,4476
"Unclassified",803,1462,994,2651,129600
