"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",765,356,226,583,1554
"GM",2262,30923,1158,3612,2417
"Tolerant",1217,2533,2125,1069,1289
"Vulnerable",841,3534,1172,45989,13534
"Unclassified",1759,2055,1467,14787,108957
