"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",28,26,116,0,114
"GM",595,33907,450948,1969,3613
"Tolerant",272,453317,49038,642,919
"Vulnerable",1,690,800,3498,79
"Unclassified",463,5270,3687,826,145993
