"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",24,15,17,294
"GM",8836,854,555,5313
"Tolerant",1767,56,100,1275
"Vulnerable",982,180,6335,9152
"Unclassified",2764,338,12158,34428
