"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,1,0
"GM",0,0,5,0
"Tolerant",0,1123,2201,232
"Vulnerable",0,8143,161590,1226
"Unclassified",1,1975,7532,197304
