"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",1,49,83,1352
"GM",8,734,263,1474
"Tolerant",2,139,76,1303
"Vulnerable",19,351,539,29200
"Unclassified",44,562,524,25539
