"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",40805,6589,41880,60625
"GM",1032,2282,10463,1968
"Tolerant",31118,17297,11889,17680
"Vulnerable",0,0,0,8
"Unclassified",29690,2684,13197,80549
