"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",3842,1912,29434,5434
"GM",2624,21890,18930,4847
"Tolerant",37895,15207,119994,14450
"Vulnerable",35,42,72,607
"Unclassified",6128,4010,14306,63102
