"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",126,4,47,2802
"GM",0,0,0,295
"Tolerant",1,0,5,4534
"Vulnerable",0,0,0,5024
"Unclassified",225,24,392,36216
