"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,2,2,18
"GM",0,0,0,7
"Tolerant",0,0,0,34
"Vulnerable",2,1,4,53
"Unclassified",2,17,35,449
