"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1607,83347,689,6393
"Tolerant",78024,18063,897,10140
"Vulnerable",1135,1968,4287,5989
"Unclassified",17530,17737,9763,118281
