"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",4972,471,34400,8322
"GM",138,109,3177,243
"Tolerant",29110,5034,110373,23500
"Vulnerable",0,0,0,2
"Unclassified",7339,559,16244,89161
