"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",11044,80,33070,13507
"GM",1291,6,3472,185
"Tolerant",36252,141,88231,21599
"Vulnerable",30,0,134,387
"Unclassified",20403,114,35654,67554
