"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,17,55,53,332
"GM",26,5508,13714,1410,3382
"Tolerant",22,14893,8514,2880,6707
"Vulnerable",15,1137,3312,26082,82459
"Unclassified",168,1530,5722,19518,92585
