"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,1
"GM",13,28,0,231
"Tolerant",76,196,18,847
"Vulnerable",0,0,1,189
"Unclassified",333,1198,163,261014
