"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",134,270,750,57,160
"GM",163,847,1461,67,330
"Tolerant",2470,5536,40066,4258,2958
"Vulnerable",253,676,3445,2890,6852
"Unclassified",155,231,2048,2571,123721
