"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,0,1
"Tolerant",0,0,172,18,112
"Vulnerable",1,1,51,10279,4910
"Unclassified",14,3,451,24040,42802
