"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",68395,7241,7555,17590
"Tolerant",25386,68447,44869,10399
"Vulnerable",15744,27249,277770,18168
"Unclassified",34982,7629,51652,364727
