"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",7907,4880,7768,3948
"Tolerant",656,44314,33566,2380
"Vulnerable",933,32849,140946,23872
"Unclassified",483,1610,16237,136349
