"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",6,0,13,572
"GM",0,0,0,101
"Tolerant",3,0,53,2699
"Vulnerable",1,2,3,7903
"Unclassified",355,76,608,21917
