"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",17347,3858,3276,3165
"Tolerant",4031,166501,142787,1728
"Vulnerable",5627,140506,240784,8657
"Unclassified",20068,20069,34384,109404
