"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4,8,0,4
"GM",23416,436136,160,12977
"Tolerant",481006,304842,628,34485
"Vulnerable",191,961,4245,4795
"Unclassified",16795,36214,4547,178721
