"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",4720,783,25655,60712
"GM",600,104,7552,3320
"Tolerant",5783,2903,36533,38532
"Vulnerable",0,0,5,18
"Unclassified",20213,1625,70124,422009
