"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",120572,699661,19939,8535
"Tolerant",696367,56440,3369,6800
"Vulnerable",23948,2193,81808,1690
"Unclassified",14380,16530,13749,343725
