"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,72,6,49
"GM",5,26,33,1
"Tolerant",3,1433,581,208
"Vulnerable",9,481,57646,22358
"Unclassified",0,94,20836,79348
