"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,0,4
"GM",191,84,10,51
"Tolerant",827,4270,158,1101
"Vulnerable",109,45,5188,1264
"Unclassified",185,347,915,49105
