"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",210,53,84,1296
"Tolerant",48,1291,1250,3132
"Vulnerable",90,1668,4352,6614
"Unclassified",1308,3025,4902,56099
