"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",55,829,1314,301,947
"GM",190,42181,122845,8346,4883
"Tolerant",902,178916,205795,37244,23051
"Vulnerable",186,12072,33995,132687,23998
"Unclassified",552,11939,30567,35119,168693
