"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,20,45
"GM",0,0,0,1
"Tolerant",0,0,4,10
"Vulnerable",0,26,2193,4921
"Unclassified",3,18,2656,9603
