"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,14,1
"GM",0,0,1,0,1
"Tolerant",0,0,2,4,32
"Vulnerable",0,0,4,733,1319
"Unclassified",27,2,17,4410,12933
