"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,2,111,144
"GM",0,4,19,61
"Tolerant",0,4,100,425
"Vulnerable",3,22,1510,1585
"Unclassified",24,83,8730,6673
