"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",233,65,81,126,1250
"GM",114,6244,3922,171,2056
"Tolerant",1074,5121,16519,1403,6601
"Vulnerable",208,712,1524,12376,19946
"Unclassified",1383,3910,6670,16194,80389
