"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",136,148,3621,191,2100
"GM",228,4562,16430,1994,1794
"Tolerant",3617,14975,463922,4933,78990
"Vulnerable",374,3275,7168,45,432
"Unclassified",2027,1264,46730,3623,263135
