"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2,21,233,32,72
"GM",268,145402,299021,3295,2860
"Tolerant",422,272557,311875,7812,1432
"Vulnerable",9,2617,5625,43054,2841
"Unclassified",172,3146,5193,12232,126834
