"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,1,7,76
"GM",0,0,8,1,123
"Tolerant",7,2,27,4,111
"Vulnerable",7,3,32,1509,11516
"Unclassified",84,63,360,15278,65749
