"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",429,957,12,6221
"GM",4,3,1,163
"Tolerant",387,6109,58,7370
"Vulnerable",60,612,3415,171
"Unclassified",8871,6861,127,30053
