"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",7,0,14,0,14
"GM",5,0,8,0,1
"Tolerant",394,1,11983,45,952
"Vulnerable",25,0,48,3577,135
"Unclassified",395,67,719,17,53477
