"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",12,1,4,28,0
"GM",0,3,72,8,35
"Tolerant",6,58,1448,538,50
"Vulnerable",18,44,838,100034,7615
"Unclassified",42,82,254,10274,41454
