"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",9,524,566,15,950
"GM",43,36635,152335,525,17233
"Tolerant",27,158138,32894,726,13848
"Vulnerable",1,4413,2093,172443,172851
"Unclassified",14,4507,1873,4513,43069
