"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,2
"GM",209,2065,90,227
"Tolerant",3478,6514,1689,2596
"Vulnerable",258,1285,68196,29753
"Unclassified",394,2597,62938,95274
