"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1995,420,225,3982
"GM",0,0,1,0
"Tolerant",539,2669,1691,3294
"Vulnerable",747,2943,14780,18660
"Unclassified",4061,1969,7252,103803
