"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",628,613,396,6616
"Tolerant",735,13688,11139,7080
"Vulnerable",752,7481,228578,54006
"Unclassified",10496,11419,125973,119447
