"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1084,1971,695,9820
"Tolerant",1726,18063,5542,24694
"Vulnerable",338,3900,13226,45614
"Unclassified",4038,11748,29143,159052
