"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",7128,41677,7038,4936
"Tolerant",21286,29423,26491,8185
"Vulnerable",12567,22569,43187,4230
"Unclassified",14132,26928,25567,86306
