"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",1351,3,2,1768
"GM",20,13,2,2799
"Tolerant",7,142,26,1731
"Vulnerable",3,1,5,1311
"Unclassified",442,359,608,13041
