"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",1,18,2,99
"GM",8,6348,2297,4047
"Tolerant",9,5620,1111,2019
"Vulnerable",0,2,0,7
"Unclassified",112,4176,1417,88021
