"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",317,10754,7462,6231,585
"GM",14,139313,568945,84926,4903
"Tolerant",45,391417,156016,512459,9664
"Vulnerable",63,130891,500530,215667,12489
"Unclassified",281,11350,23502,26680,255232
