"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",40997,25638,17984,41195
"Tolerant",31471,229766,56489,5319
"Vulnerable",38622,54329,838146,35606
"Unclassified",82564,19808,102613,503818
