"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",122,14,70,1626
"GM",13,4,10,201
"Tolerant",19,1,46,1040
"Vulnerable",3,6,3,1195
"Unclassified",716,238,1491,15908
