"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",48,6,30,400
"GM",13,3,9,168
"Tolerant",85,13,137,1036
"Vulnerable",0,0,0,21
"Unclassified",852,434,2189,17282
